"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"345","ARFIP1",0,"Rejected"
"346","X346",0,"Rejected"
"347","XLOC_l2_013427",0,"Rejected"
"348","NOS2",0,"Rejected"
"349","XLOC_002773",0,"Rejected"
"350","LOC100652730",0,"Rejected"
"351","ICMT",0,"Rejected"
"352","XLOC_004636",0,"Rejected"
"353","XLOC_008061",0,"Rejected"
"354","XLOC_010517",0,"Rejected"
"355","XLOC_004875",0,"Rejected"
"356","GPBP1L1",0,"Rejected"
"357","MFSD9",0,"Rejected"
"358","CNOT10",0,"Rejected"
"359","SNORA11B",0,"Rejected"
"360","IGF1",0,"Rejected"
"361","XLOC_000982",0,"Rejected"
"362","X362",0,"Rejected"
"363","SLCO1B3",0,"Rejected"
"364","XLOC_005763",0,"Rejected"
"365","XLOC_008963",0,"Rejected"
"366","NXPH1",0,"Rejected"
"367","C17orf87",0,"Rejected"
"368","CCT2",0,"Rejected"
"369","IL10",0,"Rejected"
"370","X370",0,"Rejected"
"371","BAG4",0,"Rejected"
"372","X372",0,"Rejected"
"373","NUAK2",0,"Rejected"
"374","RASD1",0,"Rejected"
"375","CPPED1",0,"Rejected"
"376","XLOC_l2_009762",0,"Rejected"
"377","XLOC_002593",0,"Rejected"
"378","PSMD12",0,"Rejected"
"379","LOC152024",0,"Rejected"
"380","X380",0,"Rejected"
"381","XLOC_003130",0,"Rejected"
"382","XLOC_005784",0,"Rejected"
"383","DRAM2",0,"Rejected"
"384","X384",0,"Rejected"
"385","X385",0,"Rejected"
"386","FLJ42627",0,"Rejected"
"387","XLOC_l2_011891",0,"Rejected"
"388","XLOC_005567",0,"Rejected"
"389","ROR1",0,"Rejected"
"390","SHOX",0,"Rejected"
"391","XLOC_l2_000159",0,"Rejected"
"392","DAD1",0,"Rejected"
"393","X393",0,"Rejected"
"394","SRRT",0,"Rejected"
"395","X395",0,"Rejected"
"396","LRP3",0,"Rejected"
"397","AKAP4",0,"Rejected"
"398","PFN1P2",0,"Rejected"
"399","XLOC_l2_001945",0,"Rejected"
"400","UNC5D",0,"Rejected"
"401","X401",0,"Rejected"
"402","NXT2",0,"Rejected"
"403","HMGA2",0,"Rejected"
"404","XLOC_l2_013931",0,"Rejected"
"405","XLOC_003736",0,"Rejected"
"406","LOC348761",0,"Rejected"
"407","X407",0,"Rejected"
"408","CNOT2",0,"Rejected"
"409","XLOC_014215",0,"Rejected"
"410","X410",0,"Rejected"
"411","ANO1",0,"Rejected"
"412","SLCO5A1",0,"Rejected"
"413","LCN6",0,"Rejected"
"414","HELLS",0,"Rejected"
"415","XLOC_009826",0,"Rejected"
"416","SLITRK2",0,"Rejected"
"417","XLOC_009303",0,"Rejected"
"418","ST6GAL1",0,"Rejected"
"419","MTRNR2L2",0,"Rejected"
"420","DYDC1",0,"Rejected"
"421","X421",0,"Rejected"
"422","LOC652586",0,"Rejected"
"423","LSM14B",0,"Rejected"
"424","LOC100507380",0,"Rejected"
"425","KCNS3",0,"Rejected"
"426","X426",0,"Rejected"
"427","X427",0,"Rejected"
"428","ARRB2",0,"Rejected"
"429","X429",0,"Rejected"
"430","LOC388152",0,"Rejected"
"431","XLOC_l2_002423",0,"Rejected"
"432","ATP13A3",0,"Rejected"
"433","DYNLRB2",0,"Rejected"
"434","P06788",0,"Rejected"
"435","MARS2",0,"Rejected"
"436","ADCYAP1",0,"Rejected"
"437","ITGB2",0,"Rejected"
"438","XLOC_003211",0,"Rejected"
"439","X439",0,"Rejected"
"440","MMP17",0,"Rejected"
"441","HABP2",0,"Rejected"
"442","XLOC_003093",0,"Rejected"
"443","HSPA1A",0,"Rejected"
"444","X444",0,"Rejected"
"445","LOC100130430",0,"Rejected"
"446","LOC340340",0,"Rejected"
"447","PSMB7",0,"Rejected"
"448","CYP2S1.1",0,"Rejected"
"449","X449",0,"Rejected"
"450","X450",0,"Rejected"
"451","GCM2",0,"Rejected"
"452","XLOC_012457",0,"Rejected"
"453","RBM23",0,"Rejected"
"454","SLC22A7",0,"Rejected"
"455","COX5B",0,"Rejected"
"456","EBNA1BP2",0,"Rejected"
"457","CCL2",0,"Rejected"
"458","UROS",0,"Rejected"
"459","X459",0,"Rejected"
"460","XLOC_000625",0,"Rejected"
"461","XLOC_007281",0,"Rejected"
"462","XLOC_011510",0,"Rejected"
"463","XLOC_007819",0,"Rejected"
"464","XLOC_009948",0,"Rejected"
"465","X465",0,"Rejected"
"466","CMPK1",0,"Rejected"
"467","X467",0,"Rejected"
"468","TNFRSF12A",0,"Rejected"
"469","XLOC_l2_000727",0,"Rejected"
"470","ZNF207",0,"Rejected"
"471","P4HB",0,"Rejected"
"472","IGFL2",0,"Rejected"
"473","SDR39U1",0,"Rejected"
"474","YWHAB",0,"Rejected"
"475","MEOX2",0,"Rejected"
"476","SCLY",0,"Rejected"
"477","Q7VLF4",0,"Rejected"
"478","XLOC_000545",0,"Rejected"
"479","SH3GL3",0,"Rejected"
"480","C1orf9",0,"Rejected"
"481","ZNF847P",0,"Rejected"
"482","ALG13",0,"Rejected"
"483","XLOC_001641",0,"Rejected"
"484","HIST1H2AG",0,"Rejected"
"485","XLOC_008221",0,"Rejected"
"486","IL25.1",0,"Rejected"
"487","APLN",0,"Rejected"
"488","LOC100507109",0,"Rejected"
"489","TXNDC5",0,"Rejected"
"490","XLOC_l2_014077",0,"Rejected"
"491","X491",0,"Rejected"
"492","X492",0,"Rejected"
"493","X493",0,"Rejected"
"494","DHFR",0,"Rejected"
"495","MRPL30",0,"Rejected"
"496","TBC1D3",0,"Rejected"
"497","X497",0,"Rejected"
"498","KIAA0040",0,"Rejected"
"499","NAT2",0,"Rejected"
"500","JPX",0,"Rejected"
"501","ATP6V1F",0,"Rejected"
"502","SYT12",0,"Rejected"
"503","ADAM29",0,"Rejected"
"504","XLOC_000055",0,"Rejected"
"505","XLOC_008989",0,"Rejected"
"506","GJD3",0,"Rejected"
"507","SUMO2",0,"Rejected"
"508","LDLR",0,"Rejected"
"509","X509",0,"Rejected"
"510","LOC100507630",0,"Rejected"
"511","X511",0,"Rejected"
"512","X512",0,"Rejected"
"513","XLOC_012625",0,"Rejected"
"514","CD84",0,"Rejected"
"515","MOB1A",0,"Rejected"
"516","XLOC_l2_015578",0,"Rejected"
"517","RPA1",0,"Rejected"
"518","IL15RA",0,"Rejected"
"519","PVT1",0,"Rejected"
"520","TARBP1",0,"Rejected"
"521","XLOC_010135",0,"Rejected"
"522","XLOC_l2_012605",0,"Rejected"
"523","IPO13",0,"Rejected"
"524","CCL2.1",0,"Rejected"
"525","XLOC_011789",0,"Rejected"
"526","TCTN2",0,"Rejected"
"527","CXCL13",0,"Rejected"
"528","X528",0,"Rejected"
"529","UPRT",0,"Rejected"
"530","Q59GX9",0,"Rejected"
"531","XLOC_010996",0,"Rejected"
"532","XLOC_001947",0,"Rejected"
"533","C6orf52",0,"Rejected"
"534","XLOC_l2_002729",0,"Rejected"
"535","LOC400499",0,"Rejected"
"536","C3orf55",0,"Rejected"
"537","RTP1",0,"Rejected"
"538","RPH3AL",0,"Rejected"
"539","ZNF444",0,"Rejected"
